date,name,open,high,low,close,volume
2026-02-25,S&P500,6915.1499,6952.5098,6915.1499,6946.1299,5328060000
2026-02-26,オルカン,148.4800,148.6000,146.8900,147.9500,5766700
2026-02-26,日経平均,58995.3906,59332.4297,58577.8398,58753.3906,155300000
2026-02-26,S&P500,6944.7402,6947.2500,6859.7300,6908.8599,5889550000
2026-02-27,オルカン,147.0100,147.6200,146.6900,147.3800,7754000
2026-02-27,日経平均,58606.0313,58924.1719,58130.5703,58850.2695,192400000
2026-02-27,S&P500,6856.5400,6882.9600,6831.7402,6878.8799,6665660000
2026-03-02,オルカン,145.1400,147.0600,144.9600,146.5500,8736500
2026-03-02,日経平均,57976.1992,58365.2109,57285.7695,58057.2383,162400000
2026-03-02,S&P500,6824.3599,6901.0098,6796.8501,6881.6201,6079080000
2026-03-03,オルカン,142.2900,144.2800,140.9900,143.6800,17311900
2026-03-03,日経平均,57729.8008,57890.7617,56091.5391,56279.0508,179000000
2026-03-03,S&P500,6800.2598,6840.0498,6710.4199,6816.6299,6442080000
2026-03-04,オルカン,144.0700,145.3500,143.6800,145.0000,7875000
2026-03-04,日経平均,55470.8789,55701.2695,53618.1992,54245.5391,214000000
2026-03-04,S&P500,6831.6899,6885.9399,6811.6401,6869.5000,5252170000
2026-03-05,オルカン,143.6500,144.5300,142.0700,143.3200,13123200
2026-03-05,日経平均,55204.1602,56619.9805,54910.3281,55278.0586,184900000
2026-03-05,S&P500,6851.0801,6870.4302,6770.7798,6830.7100,5989300000
2026-03-06,オルカン,141.2400,142.4400,140.6400,141.6800,9653400
2026-03-06,日経平均,54674.6016,55686.5586,54513.4297,55620.8398,142800000
2026-03-06,S&P500,6769.0298,6773.4199,6711.5601,6740.0200,5793120000
2026-03-09,オルカン,140.3300,143.4900,139.2500,143.0500,9087300
2026-03-09,日経平均,54608.6289,54608.6289,51407.6602,52728.7188,219400000
2026-03-09,S&P500,6699.7998,6810.4399,6636.0400,6795.9902,6709410000
2026-03-10,オルカン,143.4000,144.8100,142.6300,143.0500,8145900
2026-03-10,日経平均,53524.0898,54694.8906,53487.1914,54248.3906,162500000
2026-03-10,S&P500,6796.5601,6845.0801,6759.7402,6781.4800,5944950000
2026-03-11,オルカン,142.8600,143.6500,142.1900,142.9400,5533900
2026-03-11,日経平均,54917.9297,55745.3789,54882.5781,55025.3711,146900000
2026-03-11,S&P500,6790.0898,6811.1499,6745.5898,6775.7998,5511090000
2026-03-12,オルカン,141.7900,141.7900,140.4100,140.4500,14277100
2026-03-12,日経平均,54387.8984,54733.0781,53796.0117,54452.9609,154100000
2026-03-12,S&P500,6740.8799,6740.8799,6670.3999,6672.6201,6292170000
2026-03-13,オルカン,141.1300,141.8300,139.3000,139.5400,5679560
2026-03-13,日経平均,53587.3008,54065.3086,53286.6914,53819.6094,
2026-03-13,S&P500,6673.4902,6733.2998,6623.9199,6632.1899,2964237000
2026-03-19,オルカン,138.1550,140.0400,137.9150,139.3800,5815994
2026-03-19,日経平均,54287.8008,54333.0195,53190.1797,53372.5313,
2026-03-19,S&P500,6583.1201,6636.7402,6557.8198,6606.4902,3244958000
2026-03-20,オルカン,138.8000,139.0300,135.8450,136.5400,4892847
2026-03-20,S&P500,6594.6602,6594.6602,6473.5200,6506.4800,7040255000
2026-03-23,オルカン,138.7200,140.2750,138.1000,138.8100,7452809
2026-03-23,日経平均,52468.7188,52479.8086,50688.7617,51515.4883,
2026-03-23,S&P500,6574.9600,6651.6201,6565.5498,6581.0000,3486098000
2026-03-27,オルカン,135.9900,136.1200,134.2600,134.5500,3699300
2026-03-27,日経平均,53239.5898,53714.8984,52516.9219,53373.0703,170500000
2026-03-27,S&P500,6453.8901,6453.8901,6356.0801,6368.8501,5303490000
2026-03-30,日経平均,52054.6797,52054.6797,50566.9883,51885.8516,183100000
2026-03-31,オルカン,135.6100,138.5050,135.4500,138.3700,9832331
2026-03-31,S&P500,6395.8799,6539.0498,6395.8799,6528.5200,3868268000
2026-04-01,オルカン,139.5400,140.4900,139.2400,139.6700,7240300
2026-04-01,S&P500,6556.5601,6609.6699,6554.2900,6575.3198,5637260000
2026-04-02,オルカン,137.3100,139.9700,137.0700,139.4400,3515800
2026-04-02,日経平均,54066.8281,54258.4805,52273.0703,52463.2695,
2026-04-02,S&P500,6512.6099,6601.9102,6474.9399,6582.6899,4740740000
2026-04-03,日経平均,53039.3984,53426.3086,52925.1016,53123.4883,104100000
2026-04-06,日経平均,53205.9297,54039.3398,53205.9297,53413.6797,102500000
2026-04-07,オルカン,139.6400,140.2800,138.3500,140.2000,3460022
2026-04-07,S&P500,6601.9302,6618.2598,6534.5498,6616.8501,2731118000
2026-04-10,日経平均,56265.7695,57012.7695,56251.1797,56924.1094,165000000
2026-04-13,オルカン,144.4900,146.4400,144.2500,146.4100,8316200
2026-04-13,S&P500,6806.4702,6887.0000,6790.0200,6886.2402,2885789000
2026-04-16,日経平均,58479.8281,59688.1016,58428.1914,59518.3398,150300000
2026-04-17,オルカン,150.3900,151.4200,150.2100,150.9000,3021500
2026-04-17,日経平均,59255.0898,59381.2500,58475.8984,58475.8984,140000000
2026-04-17,S&P500,7074.5498,7147.5200,7074.5498,7126.0601,6145300000
2026-04-20,オルカン,150.2900,150.6000,149.7600,150.4100,3310000
2026-04-20,日経平均,58821.1602,59169.1289,58687.9609,58824.8906,121500000
2026-04-20,S&P500,7117.0498,7122.6499,7084.4102,7109.1401,4661130000
2026-04-21,オルカン,150.3600,150.6500,148.5300,148.7400,3359400
2026-04-21,日経平均,59031.5117,59611.9102,59004.7617,59349.1719,129500000
2026-04-21,S&P500,7122.6401,7137.2700,7050.2002,7064.0098,5160270000
2026-04-22,オルカン,149.8600,151.4700,149.6600,150.1700,2079600
2026-04-22,日経平均,59104.1094,59708.2109,59005.4805,59585.8594,145700000
2026-04-22,S&P500,7102.9102,7138.6401,7102.9102,7137.8999,4919460000
2026-04-23,オルカン,149.7100,150.2700,147.8800,149.2500,6046500
2026-04-23,日経平均,59758.6406,60013.9805,58621.4805,59140.2305,165300000
2026-04-23,S&P500,7118.7998,7147.7798,7046.5498,7108.3999,5307260000
2026-04-24,オルカン,149.8000,150.1350,149.5500,150.1300,1139346
2026-04-24,日経平均,59407.4414,59763.6797,59225.3711,59716.1797,
2026-04-24,S&P500,7136.4800,7145.1699,7112.8198,7144.9702,1064526000
